序号,参数层级,模块,参数名,Solidity Key/入口,作用域与Key维度,状态,当前/样例原始值,可读值,数据类型,精度或单位,设置入口,所需权限,Limited Keeper可改,当前路径必填,用途,E2E测试关注点,来源,备注
180,允许配置但当前未设置,功能开关,EXECUTE_DEPOSIT_FEATURE_DISABLED,FX100Keys.EXECUTE_DEPOSIT_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：execute deposit feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
181,允许配置但当前未设置,功能开关,EXECUTE_ORDER_FEATURE_DISABLED,FX100Keys.EXECUTE_ORDER_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：execute order feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
182,允许配置但当前未设置,功能开关,EXECUTE_WITHDRAWAL_FEATURE_DISABLED,FX100Keys.EXECUTE_WITHDRAWAL_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：execute withdrawal feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
183,允许配置但当前未设置,功能开关,GASLESS_FEATURE_DISABLED,FX100Keys.GASLESS_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：gasless feature disabled；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
184,允许配置但当前未设置,功能开关,GENERAL_CLAIM_FEATURE_DISABLED,FX100Keys.GENERAL_CLAIM_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：general claim feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
185,允许配置但当前未设置,功能开关,JIT_FEATURE_DISABLED,FX100Keys.JIT_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：jit feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
186,允许配置但当前未设置,功能开关,SYNC_CONFIG_FEATURE_DISABLED,FX100Keys.SYNC_CONFIG_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：sync config feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
187,允许配置但当前未设置,功能开关,UPDATE_ORDER_FEATURE_DISABLED,FX100Keys.UPDATE_ORDER_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：update order feature disabled；当前版本未提供更具体的脚本说明。,启用/禁用及调用模块、订单类型维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
188,允许配置但当前未设置,借贷费,ABOVE_OPTIMAL_USAGE_BORROWING_FACTOR,FX100Keys.ABOVE_OPTIMAL_USAGE_BORROWING_FACTOR,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：above optimal usage borrowing factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
189,允许配置但当前未设置,借贷费,BASE_BORROWING_FACTOR,FX100Keys.BASE_BORROWING_FACTOR,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：base borrowing factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
190,允许配置但当前未设置,借贷费,BORROWING_EXPONENT_FACTOR,FX100Keys.BORROWING_EXPONENT_FACTOR,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：borrowing exponent factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
191,允许配置但当前未设置,借贷费,BORROWING_FACTOR,FX100Keys.BORROWING_FACTOR,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：borrowing factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
192,允许配置但当前未设置,借贷费,BORROWING_FEE_RECEIVER_FACTOR,FX100Keys.BORROWING_FEE_RECEIVER_FACTOR,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：borrowing fee receiver factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
193,允许配置但当前未设置,借贷费,SKIP_BORROWING_FEE_FOR_SMALLER_SIDE,FX100Keys.SKIP_BORROWING_FEE_FOR_SMALLER_SIDE,"marketIndex[, side/flag]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：skip borrowing fee for smaller side；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
194,允许配置但当前未设置,清算与保护期,MAX_POSITION_IMPACT_FACTOR_FOR_LIQUIDATIONS,FX100Keys.MAX_POSITION_IMPACT_FACTOR_FOR_LIQUIDATIONS,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max position impact factor for liquidations；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
195,允许配置但当前未设置,全局与其他,OPTIMAL_USAGE_FACTOR,FX100Keys.OPTIMAL_USAGE_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：optimal usage factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
196,允许配置但当前未设置,全局与其他,PRO_DISCOUNT_FACTOR,FX100Keys.PRO_DISCOUNT_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：pro discount factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
197,允许配置但当前未设置,全局与其他,PRO_TRADER_TIER,FX100Keys.PRO_TRADER_TIER,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,否/按功能启用,合约允许配置项：pro trader tier；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
198,允许配置但当前未设置,全局与其他,SYNC_CONFIG_PARAMETER_DISABLED,FX100Keys.SYNC_CONFIG_PARAMETER_DISABLED,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：sync config parameter disabled；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
199,允许配置但当前未设置,全局与其他,VIRTUAL_TOKEN_ID,FX100Keys.VIRTUAL_TOKEN_ID,global 或按 Key builder,当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：virtual token id；当前版本未提供更具体的脚本说明。,零地址、错误地址、权限和实际资金接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
200,允许配置但当前未设置,市场、仓位与定价,IS_MARKET_DISABLED,FX100Keys.IS_MARKET_DISABLED,"marketIndex[, side/flag]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：is market disabled；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
201,允许配置但当前未设置,市场、仓位与定价,MAX_COLLATERAL_SUM,FX100Keys.MAX_COLLATERAL_SUM,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max collateral sum；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
202,允许配置但当前未设置,市场、仓位与定价,MAX_LENDABLE_IMPACT_FACTOR,FX100Keys.MAX_LENDABLE_IMPACT_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max lendable impact factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
203,允许配置但当前未设置,市场、仓位与定价,MAX_LENDABLE_IMPACT_USD,FX100Keys.MAX_LENDABLE_IMPACT_USD,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max lendable impact usd；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
204,允许配置但当前未设置,市场、仓位与定价,MAX_POOL_AMOUNT,FX100Keys.MAX_POOL_AMOUNT,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,否/按功能启用,合约允许配置项：max pool amount；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
205,允许配置但当前未设置,市场、仓位与定价,MIN_COLLATERAL_FACTOR_FOR_OPEN_INTEREST_MULTIPLIER,FX100Keys.MIN_COLLATERAL_FACTOR_FOR_OPEN_INTEREST_MULTIPLIER,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：min collateral factor for open interest multiplier；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
206,允许配置但当前未设置,市场、仓位与定价,MIN_COLLATERAL_USD,FX100Keys.MIN_COLLATERAL_USD,global 或按 Key builder,当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：min collateral usd；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
207,允许配置但当前未设置,市场、仓位与定价,POSITION_IMPACT_FACTOR,FX100Keys.POSITION_IMPACT_FACTOR,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：position impact factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
208,允许配置但当前未设置,市场、仓位与定价,SYNC_CONFIG_MARKET_DISABLED,FX100Keys.SYNC_CONFIG_MARKET_DISABLED,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：sync config market disabled；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
209,允许配置但当前未设置,市场、仓位与定价,SYNC_CONFIG_MARKET_PARAMETER_DISABLED,FX100Keys.SYNC_CONFIG_MARKET_PARAMETER_DISABLED,"marketIndex[, side/flag]",当前部署快照未见非零值,,,uint256,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：sync config market parameter disabled；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
210,允许配置但当前未设置,市场、仓位与定价,USE_OPEN_INTEREST_IN_TOKENS_FOR_BALANCE,FX100Keys.USE_OPEN_INTEREST_IN_TOKENS_FOR_BALANCE,"marketIndex[, side/flag]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：use open interest in tokens for balance；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
211,允许配置但当前未设置,市场、仓位与定价,VIRTUAL_INVENTORY_FOR_POSITIONS,FX100Keys.VIRTUAL_INVENTORY_FOR_POSITIONS,"marketIndex[, side/flag]",当前部署快照未见非零值,,,int/uint,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：virtual inventory for positions；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
212,允许配置但当前未设置,市场、仓位与定价,VIRTUAL_INVENTORY_FOR_POSITIONS_IN_TOKENS,FX100Keys.VIRTUAL_INVENTORY_FOR_POSITIONS_IN_TOKENS,"marketIndex[, side/flag]",当前部署快照未见非零值,,,int/uint,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：virtual inventory for positions in tokens；当前版本未提供更具体的脚本说明。,零地址、错误地址、权限和实际资金接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
213,允许配置但当前未设置,市场、仓位与定价,VIRTUAL_MARKET_ID,FX100Keys.VIRTUAL_MARKET_ID,"marketIndex[, side/flag]",当前部署快照未见非零值,,,bytes32,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：virtual market id；当前版本未提供更具体的脚本说明。,默认值、零值语义、权限和作用域维度,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
214,允许配置但当前未设置,执行费与 Gas,CREATE_DEPOSIT_GAS_LIMIT,FX100Keys.CREATE_DEPOSIT_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：create deposit gas limit；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
215,允许配置但当前未设置,执行费与 Gas,CREATE_WITHDRAWAL_GAS_LIMIT,FX100Keys.CREATE_WITHDRAWAL_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：create withdrawal gas limit；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
216,允许配置但当前未设置,执行费与 Gas,DEPOSIT_GAS_LIMIT,FX100Keys.DEPOSIT_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：deposit gas limit；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
217,允许配置但当前未设置,执行费与 Gas,EXECUTION_GAS_FEE_BASE_AMOUNT_V2_1,FX100Keys.EXECUTION_GAS_FEE_BASE_AMOUNT_V2_1,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,否/按功能启用,实际结算 Keeper 执行费的基础 Gas。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
218,允许配置但当前未设置,执行费与 Gas,EXECUTION_GAS_FEE_MULTIPLIER_FACTOR,FX100Keys.EXECUTION_GAS_FEE_MULTIPLIER_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER) / Config(LIMITED_CONFIG_KEEPER),CONFIG_KEEPER / LIMITED_CONFIG_KEEPER,是,否/按功能启用,实际 Gas 使用量放大比例。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
219,允许配置但当前未设置,执行费与 Gas,FEE_DISTRIBUTOR_GAS_LIMIT,Keys2.FEE_DISTRIBUTOR_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：fee distributor gas limit；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
220,允许配置但当前未设置,执行费与 Gas,MAX_EXECUTION_FEE_MULTIPLIER_FACTOR,FX100Keys.MAX_EXECUTION_FEE_MULTIPLIER_FACTOR,global 或按 Key builder,当前部署快照未见非零值,,,uint256,通常为 1e30 factor,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：max execution fee multiplier factor；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
221,允许配置但当前未设置,执行费与 Gas,MIN_ADDITIONAL_GAS_FOR_EXECUTION,FX100Keys.MIN_ADDITIONAL_GAS_FOR_EXECUTION,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：min additional gas for execution；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
222,允许配置但当前未设置,执行费与 Gas,MIN_HANDLE_EXECUTION_ERROR_GAS,FX100Keys.MIN_HANDLE_EXECUTION_ERROR_GAS,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：min handle execution error gas；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
223,允许配置但当前未设置,执行费与 Gas,MIN_HANDLE_EXECUTION_ERROR_GAS_TO_FORWARD,FX100Keys.MIN_HANDLE_EXECUTION_ERROR_GAS_TO_FORWARD,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：min handle execution error gas to forward；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
224,允许配置但当前未设置,执行费与 Gas,REFUND_EXECUTION_FEE_GAS_LIMIT,FX100Keys.REFUND_EXECUTION_FEE_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：refund execution fee gas limit；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
225,允许配置但当前未设置,执行费与 Gas,REGISTER_CODE_GAS_LIMIT,FX100Keys.REGISTER_CODE_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：register code gas limit；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
226,允许配置但当前未设置,执行费与 Gas,SET_TRADER_REFERRAL_CODE_GAS_LIMIT,FX100Keys.SET_TRADER_REFERRAL_CODE_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：set trader referral code gas limit；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
227,允许配置但当前未设置,执行费与 Gas,SINGLE_SWAP_GAS_LIMIT,FX100Keys.SINGLE_SWAP_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：single swap gas limit；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
228,允许配置但当前未设置,执行费与 Gas,SWAP_ORDER_GAS_LIMIT,FX100Keys.SWAP_ORDER_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：swap order gas limit；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
229,允许配置但当前未设置,执行费与 Gas,WITHDRAWAL_GAS_LIMIT,FX100Keys.WITHDRAWAL_GAS_LIMIT,global 或按 Key builder,当前部署快照未见非零值,,,uint256,整数,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：withdrawal gas limit；当前版本未提供更具体的脚本说明。,不足、刚好满足、超上限、退款和接收方,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
230,允许配置但当前未设置,资金费,CLAIM_FUNDING_FEES_FEATURE_DISABLED,FX100Keys.CLAIM_FUNDING_FEES_FEATURE_DISABLED,"module[, orderType]",当前部署快照未见非零值,,,bool,按 Key 定义,Config(CONFIG_KEEPER),CONFIG_KEEPER,否,否/按功能启用,合约允许配置项：claim funding fees feature disabled；当前版本未提供更具体的脚本说明。,边界值、0值、上下限、1e30/1e18 精度与取整方向,src/config/Config.sol::_initAllowedBaseKeys,属于 Config 白名单；未出现在当前非零链上参数快照中，不应自动视为上线必填。
